chord,start,end
A#:min,13.514013519,23.080634773
G:maj,23.312834318,25.449070132
G#:maj,25.495510041,26.145668767
G:maj,26.192108676,26.377868312
G:maj,26.47074813,26.749387584
G:maj,26.842267402,29.25714267
G:maj,30.139500941,32.97233539
G:maj,33.204534935,35.062131295
G#:maj,35.108571204,35.340770749
G:maj,35.387210658,35.805169839
G:maj,35.898049657,37.291246927
G:maj,39.93832174,40.170521285
G:maj,42.72471628,43.514194733000004
G:maj,46.068389728,46.90430809
G:maj,47.740226452,48.111745724
G:maj,48.158185633,48.529704905
G:maj,48.576144814,48.76190445
G:maj,48.808344359,50.758820537
G:maj,50.851700355,51.0838999
G#:maj,51.130339809,52.01269808
G#:maj,52.059137989,52.198457716
G:maj,52.337777443,53.730974713
G#:maj,53.963174258,55.170611892000004
G:maj,55.217051801000004,58.839364703
G:maj,59.025124339,62.043718424000005
C#:maj,62.090158333000005,64.87655287300001
C:maj,65.06231250900001,66.455509779
C#:maj,66.501949688,67.291428141
C:maj,67.33786805,68.498865775
C#:maj,68.545305684,71.238820406
C#:maj,71.888979132,73.282176402
C:maj,73.328616311,75.093332853
C#:maj,75.139772762,79.505124208
C:maj,80.015963207,81.316280659
C#:maj,81.362720568,84.381314653
A:min,84.52063438,85.077913288
C#:maj,109.691065058,117.02857068
C:min,117.075010589,120.7437634
C:maj,120.790203309,123.25151848600001
F:maj,123.29795839500001,123.62303775800001
F:maj,123.66947766700001,124.18031666600001
F:min,124.22675657500001,124.41251621100001
C#:maj,124.45895612000001,131.796461742
C:min,131.842901651,139.041087546
C#:maj,139.08752745500001,142.57052063
F:min,142.61696053900002,146.28571335
C:min,146.332153259,152.50866115600002
F:maj,152.555101065,153.762538699
C#:maj,153.80897860800002,161.100044321
C:min,161.14648423,167.137232491
F:maj,167.1836724,170.062946758
F:maj,170.759545393,170.945305029
F:maj,171.038184847,171.8276633
A#:maj,183.623400186,185.248797001
F:maj,185.29523691,186.409794726
F:maj,187.84943190500002,188.40671081300002
A#:maj,188.453150722,190.589386536
A#:maj,190.914465899,192.307663169
F:maj,192.354103078,193.515100803
G:min,193.561540712,195.001177891
F:maj,195.0476178,195.837096253
A#:maj,195.883536162,199.830928427
F:maj,199.87736833600002,201.131245879
G:min,201.17768578800002,201.502765151
F:maj,202.385123422,203.081722057
A#:maj,203.128161966,207.168434049
F:maj,207.214873958,208.608071228
G:maj,208.65451113700001,210.60498731500002
A#:maj,210.651427224,212.36970385700002
F:maj,212.416143766,213.809341036
A#:maj,213.85578094500002,214.877458943
F:maj,214.923898852,215.852697032
G:maj,215.899136941,217.942492937
A#:maj,217.988932846,220.96108702200002
F:maj,221.007526931,222.81868338200002
A#:maj,222.865123291,223.329522381
G:min,223.37596229000002,225.04779901400002
G:min,225.187118741,226.998275192
A#:maj,227.044715101,228.530792189
D:min,228.577232098,230.202628913
G:maj,230.80634773,230.945667457
G:min,232.24598490900001,232.571064272
A#:maj,232.61750418100002,236.37913681
F:maj,236.42557671900002,238.004533625
G:maj,238.050973534,239.397730895
D:maj,239.444170804,239.62993044
G:min,239.676370349,239.955009803
A#:maj,240.001449712,241.02312771
A#:maj,241.069567619,241.626846527
F:maj,241.673286436,243.159363524
A#:maj,243.205803433,244.55256079400002
F:maj,244.599000703,245.10983970200002
G:maj,245.156279611,246.13151770000002
G:maj,246.270837427,247.106755789
G:min,247.15319569800002,247.292515425
A#:maj,247.33895533400002,255.28017977300001
